id,stimfile,content,kind,name,x,y,width,height,line,part,column
85,s7_stimuli_t1.jpg,chlup,sub-line,line 9 part 5,796,746,88,39,9,5,5
86,s7_stimuli_t1.jpg,zrak,sub-line,line 9 part 6,922,746,88,39,9,6,6
87,s7_stimuli_t1.jpg,plat,sub-line,line 9 part 7,1046,746,88,39,9,7,7
88,s7_stimuli_t1.jpg,vrak,sub-line,line 9 part 8,1174,746,88,39,9,8,8
89,s7_stimuli_t1.jpg,zvon,sub-line,line 9 part 9,1300,746,88,39,9,9,9
90,s7_stimuli_t1.jpg,,line,line 10,290,822,1098,39,10,,
91,s7_stimuli_t1.jpg,tvrz,sub-line,line 10 part 1,290,822,88,39,10,1,1
92,s7_stimuli_t1.jpg,skrz,sub-line,line 10 part 2,419,822,88,39,10,2,2
93,s7_stimuli_t1.jpg,smrt,sub-line,line 10 part 3,545,822,88,39,10,3,3
94,s7_stimuli_t1.jpg,brnk,sub-line,line 10 part 4,672,822,88,39,10,4,4
95,s7_stimuli_t1.jpg,smrk,sub-line,line 10 part 5,796,822,88,39,10,5,5
96,s7_stimuli_t1.jpg,blesk,sub-line,line 10 part 6,922,822,88,39,10,6,6
97,s7_stimuli_t1.jpg,štěrk,sub-line,line 10 part 7,1046,822,88,39,10,7,7
98,s7_stimuli_t1.jpg,kvést,sub-line,line 10 part 8,1174,822,88,39,10,8,8
99,s7_stimuli_t1.jpg,bronz,sub-line,line 10 part 9,1300,822,88,39,10,9,9
